<'body system', 'issue in', 'biomedical occupation or discipline'>
<'diagnostic procedure', 'measures', 'amino acid peptide or protein'>
<'clinical attribute', 'property of', 'archaeon'>
<'immunologic factor', 'complicates', 'cell or molecular dysfunction'>
<'anatomical abnormality', 'part of', 'fungus'>
<'physiologic function', 'affects', 'reptile'>
<'professional society', 'location of', 'therapeutic or preventive procedure'>
<'plant', 'isa', 'physical object'>
<'clinical attribute', 'manifestation of', 'mental process'>
<'family group', 'uses', 'intellectual product'>
<'laboratory or test result', 'indicates', 'acquired abnormality'>
<'patient or disabled group', 'isa', 'group'>
<'molecular biology research technique', 'associated with', 'cell or molecular dysfunction'>
<'neoplastic process', 'result of', 'environmental effect of humans'>
<'pathologic function', 'manifestation of', 'molecular function'>
<'mental or behavioral dysfunction', 'affects', 'organism'>
<'alga', 'location of', 'enzyme'>
<'physiologic function', 'result of', 'anatomical abnormality'>
<'sign or symptom', 'evaluation of', 'biologic function'>
<'family group', 'performs', 'activity'>
<'hazardous or poisonous substance', 'complicates', 'genetic function'>
<'enzyme', 'complicates', 'congenital abnormality'>
<'molecular function', 'affects', 'genetic function'>
<'indicator reagent or diagnostic aid', 'affects', 'mental process'>
<'organ or tissue function', 'affects', 'neoplastic process'>
<'laboratory or test result', 'measurement of', 'organic chemical'>
<'neoplastic process', 'result of', 'biologic function'>
<'mental or behavioral dysfunction', 'affects', 'fungus'>
<'molecular function', 'isa', 'event'>
<'vitamin', 'affects', 'molecular function'>
<'biologically active substance', 'affects', 'mental or behavioral dysfunction'>
<'diagnostic procedure', 'measures', 'organic chemical'>
<'laboratory or test result', 'evaluation of', 'biologic function'>
<'neoplastic process', 'co-occurs with', 'experimental model of disease'>
<'organophosphorus compound', 'isa', 'organic chemical'>
<'diagnostic procedure', 'analyzes', 'element ion or isotope'>
<'therapeutic or preventive procedure', 'affects', 'pathologic function'>
<'organism function', 'process of', 'experimental model of disease'>
<'finding', 'evaluation of', 'organism attribute'>
<'experimental model of disease', 'process of', 'invertebrate'>
<'biologic function', 'result of', 'congenital abnormality'>
<'laboratory procedure', 'assesses effect of', 'lipid'>
<'disease or syndrome', 'affects', 'organ or tissue function'>
<'diagnostic procedure', 'isa', 'event'>
<'rickettsia or chlamydia', 'interacts with', 'vertebrate'>
<'organic chemical', 'interacts with', 'antibiotic'>
<'receptor', 'ingredient of', 'clinical drug'>
<'sign or symptom', 'manifestation of', 'neoplastic process'>
<'daily or recreational activity', 'associated with', 'acquired abnormality'>
<'neuroreactive substance or biogenic amine', 'causes', 'cell or molecular dysfunction'>
<'pharmacologic substance', 'diagnoses', 'pathologic function'>
<'lipid', 'affects', 'pathologic function'>
<'pharmacologic substance', 'complicates', 'cell or molecular dysfunction'>
<'pharmacologic substance', 'prevents', 'pathologic function'>
<'hormone', 'causes', 'mental or behavioral dysfunction'>
<'pharmacologic substance', 'affects', 'molecular function'>
<'manufactured object', 'causes', 'mental or behavioral dysfunction'>
<'diagnostic procedure', 'analyzes', 'pharmacologic substance'>
<'experimental model of disease', 'result of', 'human caused phenomenon or process'>
<'organism function', 'produces', 'neuroreactive substance or biogenic amine'>
<'bacterium', 'interacts with', 'bird'>
<'diagnostic procedure', 'uses', 'antibiotic'>
<'group', 'performs', 'social behavior'>
<'laboratory procedure', 'measures', 'enzyme'>
<'research activity', 'method of', 'occupation or discipline'>
<'organism function', 'process of', 'mammal'>
<'cell', 'location of', 'molecular function'>
<'experimental model of disease', 'process of', 'amphibian'>
<'organism attribute', 'property of', 'virus'>
<'laboratory or test result', 'manifestation of', 'neoplastic process'>
<'enzyme', 'causes', 'injury or poisoning'>
<'biologically active substance', 'causes', 'neoplastic process'>
<'regulation or law', 'issue in', 'biomedical occupation or discipline'>
<'vertebrate', 'interacts with', 'archaeon'>
<'therapeutic or preventive procedure', 'associated with', 'acquired abnormality'>
<'nucleic acid nucleoside or nucleotide', 'causes', 'experimental model of disease'>
<'tissue', 'isa', 'anatomical structure'>
<'cell', 'part of', 'vertebrate'>
<'cell or molecular dysfunction', 'manifestation of', 'pathologic function'>
<'biologically active substance', 'disrupts', 'embryonic structure'>
<'pathologic function', 'affects', 'cell function'>
<'indicator reagent or diagnostic aid', 'causes', 'pathologic function'>
<'organism function', 'result of', 'congenital abnormality'>
<'mental or behavioral dysfunction', 'associated with', 'organism attribute'>
<'genetic function', 'process of', 'cell or molecular dysfunction'>
<'immunologic factor', 'disrupts', 'mental process'>
<'biomedical or dental material', 'issue in', 'biomedical occupation or discipline'>
<'mental or behavioral dysfunction', 'affects', 'pathologic function'>
<'injury or poisoning', 'occurs in', 'population group'>
<'experimental model of disease', 'complicates', 'acquired abnormality'>
<'laboratory or test result', 'measurement of', 'organ or tissue function'>
<'genetic function', 'process of', 'natural phenomenon or process'>
<'nucleic acid nucleoside or nucleotide', 'isa', 'substance'>
<'element ion or isotope', 'causes', 'disease or syndrome'>
<'hormone', 'affects', 'experimental model of disease'>
<'group', 'exhibits', 'behavior'>
<'carbohydrate', 'isa', 'organic chemical'>
<'body part organ or organ component', 'part of', 'human'>
<'organophosphorus compound', 'interacts with', 'biologically active substance'>
<'diagnostic procedure', 'analyzes', 'eicosanoid'>
<'neoplastic process', 'affects', 'bird'>
<'diagnostic procedure', 'measures', 'organ or tissue function'>
<'chemical viewed functionally', 'isa', 'chemical'>
<'social behavior', 'isa', 'event'>
<'biomedical or dental material', 'interacts with', 'receptor'>
<'antibiotic', 'complicates', 'experimental model of disease'>
<'pharmacologic substance', 'treats', 'experimental model of disease'>
<'cell component', 'part of', 'vertebrate'>
<'indicator reagent or diagnostic aid', 'affects', 'disease or syndrome'>
<'organ or tissue function', 'affects', 'mental process'>
<'research activity', 'measures', 'antibiotic'>
<'biomedical or dental material', 'causes', 'anatomical abnormality'>
<'patient or disabled group', 'issue in', 'biomedical occupation or discipline'>
<'neoplastic process', 'affects', 'molecular function'>
<'neoplastic process', 'degree of', 'experimental model of disease'>
<'disease or syndrome', 'result of', 'genetic function'>
<'cell function', 'process of', 'vertebrate'>
<'antibiotic', 'treats', 'disease or syndrome'>
<'idea or concept', 'issue in', 'occupation or discipline'>
<'amino acid peptide or protein', 'interacts with', 'biomedical or dental material'>
<'educational activity', 'associated with', 'disease or syndrome'>
<'medical device', 'issue in', 'occupation or discipline'>
<'organization', 'carries out', 'research activity'>
<'animal', 'interacts with', 'invertebrate'>
<'laboratory or test result', 'measurement of', 'chemical'>
<'eicosanoid', 'affects', 'cell function'>
<'biologic function', 'result of', 'human caused phenomenon or process'>
<'cell', 'location of', 'bacterium'>
<'disease or syndrome', 'manifestation of', 'cell or molecular dysfunction'>
<'cell function', 'produces', 'biologically active substance'>
<'hormone', 'isa', 'biologically active substance'>
<'diagnostic procedure', 'measures', 'chemical'>
<'professional or occupational group', 'interacts with', 'family group'>
<'organophosphorus compound', 'isa', 'chemical'>
<'sign or symptom', 'manifestation of', 'mental process'>
<'diagnostic procedure', 'measures', 'clinical attribute'>
<'laboratory procedure', 'assesses effect of', 'genetic function'>
<'self help or relief organization', 'carries out', 'occupational activity'>
<'pathologic function', 'process of', 'bird'>
<'acquired abnormality', 'result of', 'anatomical abnormality'>
<'steroid', 'causes', 'disease or syndrome'>
<'animal', 'interacts with', 'amphibian'>
<'anatomical abnormality', 'result of', 'neoplastic process'>
<'pharmacologic substance', 'interacts with', 'biomedical or dental material'>
<'laboratory or test result', 'manifestation of', 'mental process'>
<'hormone', 'complicates', 'pathologic function'>
<'cell or molecular dysfunction', 'process of', 'organism'>
<'health care activity', 'issue in', 'occupation or discipline'>
<'carbohydrate', 'interacts with', 'biologically active substance'>
<'experimental model of disease', 'produces', 'enzyme'>
<'disease or syndrome', 'affects', 'biologic function'>
<'pathologic function', 'process of', 'molecular function'>
<'organophosphorus compound', 'interacts with', 'hormone'>
<'disease or syndrome', 'complicates', 'neoplastic process'>
<'cell or molecular dysfunction', 'process of', 'fungus'>
<'laboratory procedure', 'assesses effect of', 'element ion or isotope'>
<'physical object', 'issue in', 'occupation or discipline'>
<'acquired abnormality', 'result of', 'diagnostic procedure'>
<'mental process', 'result of', 'injury or poisoning'>
<'biologic function', 'process of', 'experimental model of disease'>
<'environmental effect of humans', 'result of', 'pathologic function'>
<'drug delivery device', 'isa', 'manufactured object'>
<'indicator reagent or diagnostic aid', 'interacts with', 'chemical'>
<'cell or molecular dysfunction', 'affects', 'rickettsia or chlamydia'>
<'diagnostic procedure', 'diagnoses', 'acquired abnormality'>
<'natural phenomenon or process', 'result of', 'molecular function'>
<'amino acid sequence', 'issue in', 'biomedical occupation or discipline'>
<'health care activity', 'affects', 'biologic function'>
<'quantitative concept', 'measurement of', 'genetic function'>
<'age group', 'performs', 'educational activity'>
<'organism function', 'affects', 'vertebrate'>
<'inorganic chemical', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'bird', 'issue in', 'occupation or discipline'>
<'mental process', 'produces', 'age group'>
<'laboratory procedure', 'assesses effect of', 'pharmacologic substance'>
<'congenital abnormality', 'result of', 'mental or behavioral dysfunction'>
<'environmental effect of humans', 'result of', 'phenomenon or process'>
<'behavior', 'issue in', 'occupation or discipline'>
<'biologic function', 'produces', 'neuroreactive substance or biogenic amine'>
<'cell function', 'produces', 'hormone'>
<'injury or poisoning', 'result of', 'cell or molecular dysfunction'>
<'fully formed anatomical structure', 'isa', 'anatomical structure'>
<'clinical drug', 'causes', 'pathologic function'>
<'laboratory procedure', 'associated with', 'mental or behavioral dysfunction'>
<'fully formed anatomical structure', 'location of', 'congenital abnormality'>
<'laboratory or test result', 'indicates', 'genetic function'>
<'immunologic factor', 'associated with', 'virus'>
<'body part organ or organ component', 'location of', 'organ or tissue function'>
<'bacterium', 'location of', 'biologically active substance'>
<'tissue', 'conceptual part of', 'body system'>
<'laboratory procedure', 'measures', 'disease or syndrome'>
<'experimental model of disease', 'occurs in', 'population group'>
<'molecular biology research technique', 'method of', 'diagnostic procedure'>
<'human caused phenomenon or process', 'result of', 'physiologic function'>
<'sign or symptom', 'associated with', 'cell or molecular dysfunction'>
<'invertebrate', 'interacts with', 'reptile'>
<'medical device', 'isa', 'manufactured object'>
<'reptile', 'isa', 'organism'>
<'individual behavior', 'issue in', 'occupation or discipline'>
<'governmental or regulatory activity', 'method of', 'biomedical occupation or discipline'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'gene or genome'>
